10	165
110	1952
210	3347
310	5420
410	8082
510	8182
610	7331
710	7724
810	10006
910	10609
1010	12079
1110	13356
1210	15242
1310	15929
1410	19792
1510	23269
1610	26118
1710	27659
1810	31179
1910	34223
2010	38811
2110	40048
2210	43849
2310	61174
2410	59255
2510	51448
2610	67068
2710	73971
2810	74124
2910	91327
3010	89140
3110	84056
3210	114191
3310	105298
3410	125347
3510	119407
3610	122396
3710	148876
3810	133690
3910	156802
4010	145981
4110	174826
4210	163713
4310	184398
4410	191086
4510	209146
4610	218665
4710	214454
4810	234071
4910	234354
5010	256307
5110	268939
5210	250071
5310	280164
5410	295833
5510	283820
5610	306528
5710	330115
5810	332595
5910	338698
6010	354245
6110	371758
6210	388607
6310	380526
6410	401685
6510	423569
6610	440961
6710	450396
6810	460594
6910	477800
7010	474109
7110	486733
7210	505723
7310	521338
7410	531109
7510	552590
7610	568176
7710	612099
7810	603525
7910	613612
8010	734666
8110	648379
8210	656179
8310	673718
8410	700334
8510	722565
8610	714554
8710	733332
8810	757212
8910	764439
9010	785160
9110	799653
9210	813944
9310	841340
9410	841515
9510	865873
9610	888761
9710	919489
9810	911680
9910	940200
